{ FILE .\3x5patch_2ndOrderWavePort2\3x5patch_2ndOrderWavePort2 
{ POSITION .\3x5patch_2ndOrderWavePort2\3x5patch_2ndOrderWavePort2 
    68 
     0 K2 -5.0571260362056170e-004 -1.0320248477748981e-003 
     1 K2 -1.1313708498984819e-003 -1.1313708498988937e-003 
     2 K2 -6.1229349178414192e-004 -1.4782072520178877e-003 
     3 K2 -7.6904495347542186e-004 -6.6184899586088630e-004 
     4 K2 -1.1272948892589113e-003 -6.0637297119189848e-004 
     5 K2 -1.4782072520180614e-003 -6.1229349178390502e-004 
     6 K2 -1.0035905871613416e-003 -3.2282781709588865e-004 
     7 K2 -6.4671567275790143e-004 -2.6787840265587998e-004 
     8 K2 -4.9497474683058134e-004 -4.9497474683088394e-004 
     9 K2 -4.4993033380237146e-004 -7.3699744990488026e-004 
    10 K2 -8.6688060504773196e-004 -1.3360441714188595e-004 
    11 K2 -1.0378248549466418e-003  4.0923168217105170e-005 
    12 K2 -7.0000000000000184e-004  1.1102230246251564e-016 
    13 K2 -6.4671567275790143e-004  2.6787840265510282e-004 
    14 K2 -9.6148771106948153e-004  5.2469486101711083e-004 
    15 K2 -2.1202809522086197e-004 -8.4933126688488392e-004 
    16 K2 -2.6787840265556171e-004 -6.4671567275789699e-004 
    17 K2 -1.4077002242445132e-004 -1.0661606027458912e-003 
    18 K2  9.2128778890058702e-005 -9.1400358165188978e-004 
    19 K2  1.3133075500970821e-004 -1.2157956638888798e-003 
    20 K2  4.9497474683057874e-004 -4.9497474683088394e-004 
    21 K2  2.6787840265555824e-004 -6.4671567275789699e-004 
    22 K2  4.4668013686055812e-004 -9.4526637120589941e-004 
    23 K2  7.8043430647842856e-004 -7.7594641161687894e-004 
    24 K2 -1.7347234759768071e-018 -6.9999999999989504e-004 
    25 K2  6.1229349178413845e-004 -1.4782072520178877e-003 
    26 K2 -1.7347234759768071e-018 -1.5999999999998791e-003 
    27 K2  8.1665333609110859e-004 -4.1075626098188706e-004 
    28 K2  1.0754642007859382e-003 -5.4851505875888596e-004 
    29 K2  1.4180499548608824e-004  1.0974605585430950e-003 
    30 K2  6.1229349178413845e-004  1.4782072520181098e-003 
