{ FILE .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
{ POSITION .\3x5patch_2ndOrderWavePort13\3x5patch_2ndOrderWavePort13 
    73 
     0 K2  2.6787840265556084e-004  6.4671567275786934e-004 
     1 K2  4.9497474683066200e-004  4.9497474683085629e-004 
     2 K2  4.5796320075296160e-004  9.4273311359985290e-004 
     3 K2  8.2482789856044847e-004  7.7798935115586110e-004 
     4 K2  1.0507682658415785e-004  9.0607288697386323e-004 
     5 K2  5.5511151231257827e-017  6.9999999999986739e-004 
     6 K2  1.4371105565776088e-004  1.2118775268148696e-003 
     7 K2  6.1229349178415493e-004  1.4782072520178602e-003 
     8 K2  5.5511151231257827e-017  1.5999999999998515e-003 
     9 K2 -1.0670185551404920e-004  1.0612834808648719e-003 
    10 K2 -1.4052444488774074e-004  8.5089104528285331e-004 
    11 K2 -4.3312417315634344e-004  9.4030626218485902e-004 
    12 K2 -2.6787840265554697e-004  6.4671567275786934e-004 
    13 K2  7.5685880084445933e-004  1.0830088536928628e-003 
    14 K2  1.1313708498984498e-003  1.1313708498988662e-003 
    15 K2  1.1325816591026550e-003  7.5625662133785299e-004 
    16 K2  1.4782072520180545e-003  6.1229349178387737e-004 
    17 K2  1.6000000000000597e-003 -1.3877787807814457e-016 
    18 K2  1.2949714588365580e-003  3.0278562312685553e-004 
    19 K2  1.0416210813710552e-003  1.0953377510986018e-004 
    20 K2  1.0989321407305491e-003  4.9809387958885121e-004 
    21 K2  1.3147010627701516e-003 -2.9884779681613183e-004 
    22 K2  1.4782072520180545e-003 -6.1229349178412718e-004 
    23 K2  1.0339514477056555e-003 -5.9978815176012223e-004 
    24 K2  1.1313708498984498e-003 -1.1313708498981445e-003 
    25 K2  1.0378589313957548e-003 -2.8214531113612829e-004 
    26 K2 -2.0644524691394717e-004  1.2827392717358610e-003 
    27 K2 -6.1229349178414105e-004  1.4782072520178602e-003 
    28 K2 -8.0811021730284316e-004  9.7518746003985579e-004 
    29 K2 -1.1313708498984498e-003  1.1313708498988662e-003 
