{ FILE .\3x5patch_2ndOrderWavePort4\3x5patch_2ndOrderWavePort4 
{ POSITION .\3x5patch_2ndOrderWavePort4\3x5patch_2ndOrderWavePort4 
    73 
     0 K2 -1.4782072520180684e-003  6.1229349178409931e-004 
     1 K2 -1.1313708498984776e-003  1.1313708498984912e-003 
     2 K2 -1.0794988016772783e-003  6.5492037042778884e-004 
     3 K2 -1.1755058378698779e-003  2.9370502678419114e-004 
     4 K2 -8.5802963935657783e-004  4.4240562290019653e-004 
     5 K2 -1.5999999999999764e-003  0.0000000000000000e+000 
     6 K2 -7.5431082999836974e-004  7.9482475647289763e-004 
     7 K2 -4.9497474683057874e-004  4.9497474683059251e-004 
     8 K2 -6.4671567275786934e-004  2.6787840265549140e-004 
     9 K2 -6.5931174568306661e-004  1.1118183288591902e-003 
    10 K2 -2.9230366247627593e-004  1.1986523641950989e-003 
    11 K2 -5.0215547935716920e-004  9.5340412967929989e-004 
    12 K2 -6.1229349178416881e-004  1.4782072520179918e-003 
    13 K2  2.7755575615628914e-017  1.5999999999999970e-003 
    14 K2  1.8977761087442258e-004  1.2356265845007012e-003 
    15 K2  6.1229349178412718e-004  1.4782072520179918e-003 
    16 K2 -3.5983007616868790e-005  9.3171655437969392e-004 
    17 K2  2.6340604307052706e-004  9.9035988411728926e-004 
    18 K2  5.0023681912403362e-004  1.0323623623425952e-003 
    19 K2  4.1222136516522179e-004  7.8205407854779741e-004 
    20 K2  7.2107328018802819e-004  6.8495438629100059e-004 
    21 K2  1.1313708498984221e-003  1.1313708498984912e-003 
    22 K2  7.9897523734072384e-004  1.0210511329120928e-003 
    23 K2  1.0272741940859226e-003  7.7770788783899914e-004 
    24 K2  1.4782072520180267e-003  6.1229349178409931e-004 
    25 K2  4.9497474683063425e-004  4.9497474683059251e-004 
    26 K2  2.6787840265553309e-004  6.4671567275789699e-004 
    27 K2  1.8153821416592997e-004  8.1036146270979648e-004 
    28 K2  2.7755575615628914e-017  6.9999999999999219e-004 
    29 K2 -2.6787840265557472e-004  6.4671567275789699e-004 
    30 K2 -4.7773589219357593e-004  7.5838913948510212e-004 
    31 K2 -3.1546239174587432e-004  8.9790575515059912e-004 
    32 K2 -1.1010648387859701e-003 -7.9944352162505936e-005 
    33 K2 -1.2210521318958695e-003 -3.6539791322100218e-004 
    34 K2 -8.7891016150166978e-004 -4.1487775593861126e-004 
    35 K2 -8.4290392324817831e-004 -1.2595911469810703e-004 
    36 K2 -6.4671567275786934e-004 -2.6787840265560242e-004 
    37 K2 -4.9497474683057874e-004 -4.9497474683060639e-004 
    38 K2 -1.4782072520180684e-003 -6.1229349178421033e-004 
    39 K2 -8.8745027082867689e-004  1.3299564297900021e-004 
    40 K2 -6.9999999999997842e-004  0.0000000000000000e+000 
    41 K2 -1.0229404932014657e-003 -7.1338518818379870e-004 
    42 K2 -1.1313708498984776e-003 -1.1313708498985051e-003 
    43 K2  2.7755575615628914e-017 -7.0000000000000606e-004 
    44 K2 -2.6787840265557472e-004 -6.4671567275791087e-004 
    45 K2 -7.0883445338579265e-005 -1.0504148386863003e-003 
    46 K2 -4.4395048474707433e-004 -1.0396177155582024e-003 
    47 K2 -6.5489675319777008e-004 -7.3643730671060770e-004 
    48 K2 -7.7310409321777740e-004 -1.0198210895160096e-003 
    49 K2 -6.1229349178416881e-004 -1.4782072520181098e-003 
    50 K2 -2.8237069724457164e-004 -1.2987739091583070e-003 
    51 K2  2.7755575615628914e-017 -1.6000000000000040e-003 
    52 K2  1.9032402942552318e-004 -8.9614087680101029e-004 
    53 K2  3.0770389380233021e-004 -1.1715727596605106e-003 
    54 K2  6.1229349178412718e-004 -1.4782072520181098e-003 
    55 K2  2.6787840265553309e-004 -6.4671567275791087e-004 
    56 K2  1.0045330338334241e-003  4.3871408624149283e-004 
    57 K2  1.2167253191781302e-003  1.4729283967888915e-004 
    58 K2  4.9497474683063425e-004 -4.9497474683060639e-004 
    59 K2  6.4671567275792485e-004 -2.6787840265560242e-004 
