{ FILE .\3x5patch_2ndOrderWavePort6\3x5patch_2ndOrderWavePort6 
{ POSITION .\3x5patch_2ndOrderWavePort6\3x5patch_2ndOrderWavePort6 
    71 
     0 K2 -4.9497474683063425e-004  4.9497474683062037e-004 
     1 K2 -6.4671567275793179e-004  2.6787840265551921e-004 
     2 K2 -7.5635350481903507e-004  5.0011646487861661e-004 
     3 K2 -6.5462615034383304e-004  7.9382405189762362e-004 
     4 K2 -2.6787840265553309e-004  6.4671567275792485e-004 
     5 K2 -9.4402439594813009e-004  5.7878440207842496e-004 
     6 K2 -1.0678147969515328e-003  3.1678834451942528e-004 
     7 K2 -1.1338800461852330e-003  7.6223285156352960e-004 
     8 K2 -1.4782072520180337e-003  6.1229349178412718e-004 
     9 K2 -1.1313708498985331e-003  1.1313708498985192e-003 
    10 K2 -1.6000000000000320e-003  2.7755575615628914e-017 
    11 K2 -1.1233578363790339e-003 -1.3393920132777348e-004 
    12 K2 -1.4782072520180337e-003 -6.1229349178418269e-004 
    13 K2 -7.0000000000003393e-004  2.7755575615628914e-017 
    14 K2 -9.2886284654423307e-004 -4.6918113232687075e-004 
    15 K2 -7.0387200389983307e-004  1.0986849409660299e-003 
    16 K2 -6.1229349178413411e-004  1.4782072520180198e-003 
    17 K2 -1.0998569679411332e-003 -7.5554479243818140e-004 
    18 K2 -1.1313708498985331e-003 -1.1313708498984776e-003 
    19 K2 -7.9762636076493448e-004 -8.0025468419538115e-004 
    20 K2 -4.9497474683063425e-004 -4.9497474683057874e-004 
    21 K2 -2.6787840265553309e-004 -6.4671567275788322e-004 
    22 K2 -4.5341460250503118e-004 -9.4820114144567036e-004 
    23 K2 -1.0675984489353502e-004 -9.0964037795647490e-004 
    24 K2 -3.4694469519536142e-017 -6.9999999999997842e-004 
    25 K2 -1.4335060465163474e-004 -1.2151149712675835e-003 
    26 K2 -6.1229349178413411e-004 -1.4782072520180822e-003 
    27 K2 -3.4694469519536142e-017 -1.5999999999999764e-003 
    28 K2  1.0499540736716440e-004 -1.0640722596812757e-003 
