{ FILE .\3x5patch_2ndOrderWavePort1\3x5patch_2ndOrderWavePort1 
{ POSITION .\3x5patch_2ndOrderWavePort1\3x5patch_2ndOrderWavePort1 
    73 
     0 K2  1.1313708498984082e-003 -1.1313708498988662e-003 
     1 K2  1.1497880623381196e-003 -6.2933118222086026e-004 
     2 K2  1.4782072520180128e-003 -6.1229349178387737e-004 
     3 K2  8.3154139892921419e-004 -6.2290492364486250e-004 
     4 K2  1.0891036260090164e-003 -3.0614674589185542e-004 
     5 K2  8.6625143162472051e-004 -3.0579733236185680e-004 
     6 K2  6.4671567275791098e-004 -2.6787840265585228e-004 
     7 K2  4.9497474683062037e-004 -4.9497474683085629e-004 
     8 K2  5.4873145794091804e-004 -7.6218547889886357e-004 
     9 K2  8.9455181300451825e-004 -1.5307337294587220e-004 
    10 K2  1.1122082019633106e-003 -1.4512291476864725e-005 
    11 K2  7.0000000000002005e-004  1.3877787807814457e-016 
    12 K2  1.0166828380888115e-003  3.3800803285813363e-004 
    13 K2  1.4782072520180128e-003  6.1229349178412718e-004 
    14 K2  1.1313708498984082e-003  1.1313708498981445e-003 
    15 K2  1.0565778108199142e-003  7.0636236641113959e-004 
    16 K2  6.9684759336761937e-004  8.1201321670013038e-004 
    17 K2  7.8525794509901048e-004  5.2886075942612520e-004 
    18 K2  4.9497474683062037e-004  4.9497474683013465e-004 
    19 K2  6.4671567275791098e-004  2.6787840265513063e-004 
    20 K2  1.3135437269983091e-003  2.4566233991413222e-004 
    21 K2  1.6000000000000181e-003  1.3877787807814457e-016 
    22 K2  7.1871557240571482e-004  1.1217662332061451e-003 
    23 K2  6.1229349178411330e-004  1.4782072520181377e-003 
    24 K2  4.2312585697291960e-004  1.0539947871021360e-003 
    25 K2  2.6787840265551921e-004  6.4671567275814690e-004 
    26 K2 -2.6787840265558860e-004  6.4671567275814690e-004 
    27 K2  1.3877787807814457e-017  7.0000000000014495e-004 
    28 K2 -2.9957673364958137e-004  9.6743435608814821e-004 
    29 K2  5.9890572435813971e-005  9.8120144171412460e-004 
    30 K2 -2.1055882482508281e-004  1.2378471634361399e-003 
    31 K2  1.2860813250128167e-003 -3.1234501245086532e-004 
    32 K2  1.7695175113401074e-004  1.2702786089721363e-003 
    33 K2  1.3877787807814457e-017  1.6000000000001291e-003 
    34 K2  7.3670886988841389e-004 -1.0398500167458635e-003 
    35 K2  6.1229349178411330e-004 -1.4782072520178602e-003 
    36 K2 -6.8539832213738994e-004  8.2956111415513623e-004 
    37 K2 -4.9497474683059262e-004  4.9497474683013465e-004 
    38 K2 -5.8832261418878540e-004  1.1297644134291296e-003 
    39 K2 -1.1313708498984915e-003  1.1313708498981445e-003 
    40 K2 -6.1229349178418269e-004  1.4782072520181377e-003 
    41 K2 -1.1041194888958827e-003  6.9219019667712822e-004 
    42 K2 -1.4782072520180822e-003  6.1229349178412718e-004 
    43 K2 -8.0260599239218022e-004  6.0686677236213016e-004 
    44 K2 -9.8416813908848433e-004  3.0789687101212548e-004 
    45 K2 -7.9203918641979065e-004  4.0056074636113381e-004 
    46 K2 -6.4671567275788322e-004  2.6787840265513063e-004 
    47 K2 -1.2903449664954797e-003  2.3630313237313350e-004 
    48 K2 -1.5999999999999903e-003  1.3877787807814457e-016 
    49 K2 -6.9999999999999230e-004  1.3877787807814457e-016 
    50 K2  1.3877787807814457e-017 -1.5999999999998515e-003 
    51 K2  1.3422674321911243e-004 -1.2304588719268539e-003 
    52 K2  4.0734903986201776e-004 -1.0177611912958739e-003 
    53 K2  9.5034743275212996e-005 -9.3244525257887845e-004 
    54 K2 -1.0845761548128330e-004 -1.0600888024308586e-003 
    55 K2  2.6787840265551921e-004 -6.4671567275786934e-004 
    56 K2 -2.0232569198898320e-004 -1.2738690416058684e-003 
    57 K2 -6.1229349178418269e-004 -1.4782072520178602e-003 
    58 K2 -4.1658975687568212e-004 -9.5935548512385282e-004 
    59 K2 -7.3686551019518098e-004 -1.0906350070158666e-003 
    60 K2 -1.1313708498984915e-003 -1.1313708498988662e-003 
    61 K2 -1.3960384132079284e-004 -8.5977479102486432e-004 
    62 K2 -2.6787840265558860e-004 -6.4671567275786934e-004 
    63 K2  1.3877787807814457e-017 -6.9999999999986739e-004 
    64 K2 -4.9497474683059262e-004 -4.9497474683085629e-004 
    65 K2 -7.7011255936589029e-004 -7.7011255936587641e-004 
    66 K2 -7.2910279834878522e-004 -5.1616988528685459e-004 
    67 K2 -6.4671567275788322e-004 -2.6787840265585228e-004 
    68 K2 -9.6740952852689133e-004 -7.4872220919869337e-005 
    69 K2 -9.4584739235248350e-004 -4.6281636090086953e-004 
    70 K2 -1.2373636027808860e-003 -2.6273152218286855e-004 
    71 K2 -1.1125827054721815e-003 -6.4786699060487285e-004 
    72 K2 -1.4782072520180822e-003 -6.1229349178387737e-004 
} 
{ NODE .\3x5patch_2ndOrderWavePort1\3x5patch_2ndOrderWavePort1 
    73 
     0 S      0 
     1 S      1 
     2 S      2 
     3 S      3 
