{ FILE .\3x5patch_2ndOrderWavePort15\3x5patch_2ndOrderWavePort15 
{ POSITION .\3x5patch_2ndOrderWavePort15\3x5patch_2ndOrderWavePort15 
    73 
     0 K2  1.3877787807814457e-017  1.5999999999999626e-003 
     1 K2  3.0548452012091332e-004  1.1590143805359776e-003 
     2 K2  6.1229349178421738e-004  1.4782072520179712e-003 
     3 K2 -6.0483676844483303e-005  1.1171313789139770e-003 
     4 K2  1.3883366985951301e-004  8.7809557256698922e-004 
     5 K2 -1.1990791675918488e-004  8.5383512250097882e-004 
     6 K2  1.3877787807814457e-017  6.9999999999997842e-004 
     7 K2  2.6787840265561635e-004  6.4671567275798036e-004 
     8 K2 -3.9377573992328135e-004  9.0336772903096274e-004 
     9 K2 -2.6787840265548452e-004  6.4671567275798036e-004 
    10 K2  7.0994223071781798e-004  9.6834100414097679e-004 
    11 K2  1.1313708498985192e-003  1.1313708498989772e-003 
    12 K2  4.4059088197981322e-004  7.9045996130996943e-004 
    13 K2  1.0431810259157182e-003  6.5613751032997381e-004 
    14 K2  7.2641799546041552e-004  5.9412461869298716e-004 
    15 K2  1.4782072520181169e-003  6.1229349178398840e-004 
    16 K2 -2.9198318523948608e-004  1.3062043428929693e-003 
    17 K2 -6.1229349178408554e-004  1.4782072520179712e-003 
    18 K2 -4.9497474683058568e-004  4.9497474683096732e-004 
    19 K2 -7.9355481867598304e-004  7.8723293711197018e-004 
    20 K2 -6.4671567275788322e-004  2.6787840265596330e-004 
    21 K2 -8.9488117755188307e-004  4.2884477894997164e-004 
    22 K2 -1.1185167641405841e-003  6.4755115771497618e-004 
    23 K2 -1.1313708498984845e-003  1.1313708498989772e-003 
    24 K2 -1.4782072520179851e-003  6.1229349178398840e-004 
    25 K2 -7.2545456280978526e-004  1.1150225363099897e-003 
    26 K2  1.2402880262165142e-003  3.1118923376896590e-004 
    27 K2  1.6000000000000181e-003 -2.7755575615628914e-017 
    28 K2  1.1073926686835170e-003 -3.1570758477011962e-005 
    29 K2  9.7224807554881915e-004  3.1904047055097973e-004 
    30 K2  1.2329976903401180e-003 -3.3955010748601411e-004 
    31 K2  1.4782072520181169e-003 -6.1229349178401615e-004 
    32 K2  8.8888276206721545e-004 -4.0066679188802135e-004 
    33 K2  1.0898846699033127e-003 -6.5255633203803454e-004 
    34 K2  7.1716286680881952e-004 -7.7799308641302023e-004 
    35 K2  1.1313708498985192e-003 -1.1313708498980335e-003 
    36 K2  4.9497474683061343e-004 -4.9497474683002363e-004 
    37 K2  7.2968687565061474e-004 -1.1126366955990230e-003 
    38 K2  6.1229349178421738e-004 -1.4782072520180267e-003 
    39 K2  8.7864761244611789e-004  8.6769494218985610e-005 
    40 K2  6.4671567275791791e-004  2.6787840265596330e-004 
    41 K2  7.0000000000001311e-004 -2.7755575615628914e-017 
    42 K2  8.4439073031071510e-004 -1.2273623432201841e-004 
    43 K2  6.4671567275791791e-004 -2.6787840265501961e-004 
    44 K2  2.6787840265561635e-004 -6.4671567275803588e-004 
    45 K2 -1.0203187292124813e-003  9.6815907384972810e-005 
    46 K2 -6.9999999999998536e-004 -2.7755575615628914e-017 
    47 K2 -8.9849754206268451e-004 -1.0789708781502871e-004 
    48 K2 -1.1313708498984845e-003 -1.1313708498980335e-003 
    49 K2 -1.0835596686155843e-003 -5.9966423754401199e-004 
    50 K2 -1.4782072520179851e-003 -6.1229349178401615e-004 
    51 K2 -7.4722554534078361e-004 -8.2311434660303773e-004 
    52 K2 -7.6762381618368514e-004 -4.9010695241502589e-004 
